	a	bajo	con	de	desde	durante	en	entre	hasta	por	para	sin	sobre	del
AD	6	0	0	9	0	0	0	0	0	0	0	28	0	
AT	1	0	0	2	0	0	0	0	0	2	0	0	0	
CA	0	2	0	5	0	0	0	0	0	38	0	0	0	
COA	0	0	16	0	0	0	0	0	0	0	0	0	0	
COM	0	0	9	0	0	0	0	0	0	0	0	0	0	
COMP	0	0	0	15	0	0	1	0	0	0	0	0	0	
CO	0	0	31	8	0	0	0	0	0	0	0	0	0	
DE	58	0	0	1	0	0	1	0	1	0	1	0	0	
DI	1	0	0	0	0	0	0	0	0	10	0	0	0	
IS	4	0	0	2	0	1	12	0	0	10	0	0	0	
IT	5	0	0	1	0	3	10	0	0	10	0	0	1	
IN	2	0	0	1	0	0	0	0	0	6	0	0	0	
ME	0	0	15	0	0	0	0	0	0	1	0	0	0	
MO	21	0	0	63	0	0	33	0	0	2	0	0	0	
MOM	11	0	0	1	0	0	2	0	0	0	0	0	0	
PE	1	0	0	1	0	0	0	0	0	0	7	0	0	
POS	1	0	9	72	0	0	0	0	0	0	0	0	0	
PU	23	0	0	3	0	0	0	0	0	3	72	0	0	
RE	32	0	0	1	0	0	2	0	0	4	20	0	0	
RS	13	3	0	21	0	0	3	7	0	0	0	0	5	
RT	1	0	0	14	4	0	3	1	8	0	0	0	0	
SO	2	0	0	29	6	0	0	0	0	1	0	0	0	
SP	3	0	0	189	0	0	4	0	0	3	0	0	0	
SS	1	0	0	2	0	0	104	0	0	0	1	0	0	
ST	13	0	0	2	0	3	19	0	0	0	0	0	0	
TD	6	0	0	0	0	0	2	0	0	0	3	0	0	
TO	8	0	0	40	0	0	21	0	0	4	0	0	16	
