,AD,AT,CA,COA,COM,COMP,CO,DE,DI,IS,IT,IN,ME,MO,MOM,PE,POS,PU,RE,RS,RT,SO,SP,SS,ST,TD,TO
AD,0,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1
AT,1,0,0,2,2,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,2,0
CA,2,1,0,3,3,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2,2,3,1
COA,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
COM,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
COMP,1,1,1,2,2,0,1,0,2,0,0,1,2,0,0,1,1,1,0,0,0,1,0,0,0,1,0
CO,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1
DE,3,3,3,4,4,2,3,0,4,2,2,3,4,2,2,2,3,2,1,2,1,3,2,1,2,2,2
DI,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0
IS,3,2,2,4,4,2,3,2,3,0,0,2,3,1,2,3,3,2,1,2,2,2,1,2,1,3,1
IT,4,3,3,5,5,3,4,3,4,1,0,3,4,2,3,4,4,3,2,2,3,3,2,3,2,4,1
IN,1,0,0,2,2,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,2,0
ME,2,1,1,1,1,2,1,2,1,1,1,1,0,1,2,2,1,1,1,2,2,1,1,2,2,2,1
MO,2,1,1,3,3,1,2,1,2,0,0,1,2,0,1,2,2,1,0,1,1,1,0,1,1,2,0
MOM,1,1,1,2,2,0,1,0,2,0,0,1,2,0,0,1,1,1,0,0,0,1,0,0,0,1,0
PE,1,1,1,2,2,1,1,0,2,1,1,1,2,1,1,0,1,0,0,1,1,1,1,0,1,1,1
POS,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1
PU,2,1,1,3,3,2,2,1,2,1,1,1,2,1,2,1,2,0,0,2,2,1,1,1,2,2,1
RE,3,2,2,4,4,2,3,1,3,1,1,2,3,1,2,2,3,1,0,2,2,2,1,1,2,2,1
RS,4,4,3,5,5,3,4,3,5,3,2,4,5,3,3,4,4,4,3,0,2,4,3,3,3,4,2
RT,4,4,4,5,5,3,4,2,5,3,3,4,5,3,3,4,4,4,3,2,0,3,3,3,3,4,3
SO,2,1,1,3,3,2,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,0,1,2,2,3,1
SP,2,1,1,3,3,1,2,1,2,0,0,1,2,0,1,2,2,1,0,1,1,1,0,1,1,2,0
SS,2,2,2,3,3,1,2,0,3,1,1,2,3,1,1,1,2,1,0,1,1,2,1,0,1,1,1
ST,2,2,2,3,3,1,2,1,3,0,0,2,3,1,1,2,2,2,1,1,1,2,1,1,0,2,1
TD,2,2,2,2,2,1,2,0,2,1,1,2,2,1,1,1,2,1,0,1,1,2,1,0,1,0,1
TO,3,2,2,4,4,2,3,2,3,1,0,2,3,1,2,3,3,2,1,1,2,2,1,2,2,3,0
