	a	bajo	con	de	desde	durante	en	entre	hasta	por	para	sin	sobre	del
AD	1	6	6	1	6	6	6	6	6	6	6	1	6	
AT	1	6	6	1	6	6	6	6	6	1	6	6	6	
CA	6	1	6	1	6	6	6	6	6	1	6	6	6	
COA	6	6	1	6	6	6	6	6	6	6	6	6	6	
COM	6	6	1	6	6	6	6	6	6	6	6	6	6	
COMP	6	6	6	1	6	6	1	6	6	6	6	6	6	
CO	6	6	1	1	6	6	6	6	6	6	6	6	6	
DE	1	6	6	1	6	6	1	6	1	6	1	6	6	
DI	1	6	6	6	6	6	6	6	6	1	6	6	6	
IS	1	6	6	1	6	1	1	6	6	1	6	6	6	
IT	1	6	6	1	6	1	1	6	6	1	6	6	1	
IN	1	6	6	1	6	6	6	6	6	1	6	6	6	
ME	6	6	1	6	6	6	6	6	6	1	6	6	6	
MO	1	6	6	1	6	6	1	6	6	1	6	6	6	
MOM	1	6	6	1	6	6	1	6	6	6	6	6	6	
PE	1	6	6	1	6	6	6	6	6	6	1	6	6	
POS	1	6	1	1	6	6	6	6	6	6	6	6	6	
PU	1	6	6	1	6	6	6	6	6	1	1	6	6	
RE	1	6	6	1	6	6	1	6	6	1	1	6	6	
RS	1	1	6	1	6	6	1	1	6	6	6	6	1	
RT	1	6	6	1	1	6	1	1	1	6	6	6	6	
SO	1	6	6	1	1	6	6	6	6	1	6	6	6	
SP	1	6	6	1	6	6	1	6	6	1	6	6	6	
SS	1	6	6	1	6	6	1	6	6	6	1	6	6	
ST	1	6	6	1	6	1	1	6	6	6	6	6	6	
TD	1	6	6	6	6	6	1	6	6	6	1	6	6	
TO	1	6	6	1	6	6	1	6	6	1	6	6	1	
