	rank	correctYea	wrongYea	wrongNay	correctNay	volume	coord1D
AD	16	2	1	1	9	0	16
AT	20	3	0	0	10	0	20
CA	23	2	0	1	10	0	23
COA	26	1	1	0	11	0	26
COM	26	1	1	0	11	0	26
COMP	9.5	2	1	0	10	0	9.5
CO	24	2	1	0	10	0	24
DE	9.5	3	0	2	8	0	9.5
DI	20	2	1	0	10	0	20
IS	9.5	4	0	1	8	0	9.5
IT	3.5	4	0	2	7	0	3.5
IN	20	3	0	0	10	0	20
ME	26	2	0	0	11	0	26
MO	9.5	4	0	0	9	0	9.5
MOM	9.5	3	0	0	10	0	9.5
PE	16	2	1	1	9	0	16
POS	16	2	1	1	9	0	16
PU	20	3	0	1	9	0	20
RE	9.5	4	0	1	8	0	9.5
RS	2	6	0	0	7	0	2
RT	1	6	2	0	5	0	1
SO	20	3	0	1	9	0	20
SP	9.5	4	0	0	9	0	9.5
SS	9.5	3	0	1	9	0	9.5
ST	9.5	3	0	1	9	0	9.5
TD	9.5	2	1	1	9	0	9.5
TO	3.5	4	0	1	8	0	3.5
