	rank	correctYea	wrongYea	wrongNay	correctNay	volume	coord1D	coord2D
AD	16.5	2	0	1	10	0.330000015674159	0.00606740937082661	-0.165055994705562
AT	18.5	3	0	0	10	0.4710000223713	0.0187890491381407	0.258137490769241
CA	24	2	0	1	10	0.0650000030873343	0.381131839778151	0.386318605510585
COA	25.5	1	0	0	12	0.367000017431565	0.48949249728494	5.20417042793042e-17
COM	25.5	1	0	0	12	0.422000020043924	0.48949249728494	5.20417042793042e-17
COMP	7.5	2	1	0	10	0.308000014629215	-0.36607700748178	-0.183103260137558
CO	23	2	0	0	11	0.190000009024516	0.373169401181172	5.55111512312578e-17
DE	4.5	5	0	0	8	0.139000006602146	-0.510452484826126	-0.286851186539189
DI	21	1	0	1	11	0.15300000726711	0.162430062642695	-0.276711476326055
IS	14	4	0	1	8	0.218000010354444	-0.340250858225999	0.226435895018168
IT	12	6	0	0	7	0.0720000034198165	-0.358955579149933	0.445165877727205
IN	18.5	3	0	0	10	0.452000021468848	0.0187890491381407	0.258137490769241
ME	27	2	0	0	11	0.501000023796223	0.48949249728494	0.0171208823929135
MO	10.5	4	0	0	9	0.222000010544434	-0.358955579149933	0.229848699239165
MOM	9	3	0	0	10	0.4710000223713	-0.358955579149933	-4.16333634234434e-17
PE	16.5	2	0	1	10	0.331000015721656	0.00606740937082661	-0.165055994705562
POS	22	3	0	0	10	0.187000008882023	0.287314319510325	2.94902990916057e-17
PU	20	3	0	1	9	0.45500002161134	0.0381681782271151	0.261999624819418
RE	4.5	5	0	0	8	0.0920000043697655	-0.510452484826126	0.0704379049195605
RS	1	5	1	1	6	0.162000007694587	-0.709227908517436	0.00207679440260044
RT	6	6	0	0	7	0.254000012064353	-0.489662177254613	-0.586010415923791
SO	15	3	0	1	9	0.171000008122064	-0.143223962088096	-0.459878713989505
SP	10.5	4	0	0	9	0.221000010496937	-0.358955579149933	0.229848699239165
SS	3	4	0	0	9	0.235000011161901	-0.510452484826126	-6.93889390390723e-17
ST	7.5	3	0	1	9	0.309000014676712	-0.36607700748178	-0.183103260137558
TD	2	3	1	0	9	0.194000009214506	-0.545936504475389	-0.116211247218624
TO	13	5	0	0	8	0.223000010591932	-0.358955579149933	0.419026906292523
