	correctYea	wrongYea	wrongNay	correctNay	PRE	normVector1D	normVector2D	midpoints
a	21	1	0	5	0.833333333333333	0.978831257396807	-0.204668926666911	0.288874184166129
bajo	0	0	2	25	0	0.35363130085256	-0.935384895675211	-0.552994732128513
con	5	0	0	22	1	0.964160178297413	-0.265320844611767	0.269489618285388
de	22	1	0	4	0.8	0.639086576783263	-0.769134804423419	0.288366898146075
desde	2	0	0	25	1	0.340327856374044	-0.940306838311755	0.346895455528824
durante	1	0	2	24	0.333333333333333	0.128659829963303	-0.991688785937309	-0.477412618790564
en	14	0	0	13	1	0.992483924473577	0.122375077779456	-0.240110648074329
entre	2	0	0	25	1	0.925648387708478	0.378384807217065	-0.626801130721622
hasta	2	0	0	25	1	0.696624510540931	0.717435914429719	-0.546748924727299
por	11	0	2	14	0.846153846153846	0.0635743423431914	0.997977105446628	0.0335524862306486
para	4	1	2	20	0.5	0.993765919053438	-0.111486762119437	-0.47301484227946
sin	0	0	1	26	0	0.945594669853982	-0.32534707674073	-0.700915794902631
sobre	3	0	0	24	1	0.908070590893703	-0.4188171462034	-0.494828383605952
